1569023536643321856,"Pokémon can get very dark… 
(video is up go look at it 👍) https://t.co/DV9aF1lpHN",57,"Pokémon can get very dark… 
(video is up go look at it 👍) https://t.co/DV9aF1lpHN"
1569138327156137988,im about to go get a happy meal what pokemon toy do you think im gonna get,74,im about to go get a happy meal what pokemon toy do you think im gonna get
1569138317710483457,I wish I had more friends who play Pokémon go just because Robert and I play it literally every day (shared account) and the majority of our “friends” are random strangers I’ve added from halfway around the world,212,I wish I had more friends who play Pokémon go just because Robert and I play it literally every day (shared account) and the majority of our “friends” are random strangers I’ve added from halfway around the world
1569138232499257344,I’m new to the Pokémon Go community but here’s my daily incense https://t.co/rUefAL61it,63,I’m new to the Pokémon Go community but here’s my daily incense https://t.co/rUefAL61it
1569137872871239680,Marvel is getting an AR game from the makers of Pokémon Go https://t.co/AXyp3jFiLw via @flipboard,97,Marvel is getting an AR game from the makers of Pokémon Go https://t.co/AXyp3jFiLw via @flipboard
1569137556914159621,"Looking for new weeb friends. Any #Anime  #Gamers #Marvel fans out there? Feel free to follow and talk! Let's get our community together!
About me:
- He/Him
- PC/ PS5/ Nintendo Switch
- Pokemon &amp; Pokemon Go 
- Anime! (Currently in the high 300s for One Piece)
- Marvel &gt; DC",280,"Looking for new weeb friends. Any #Anime  #Gamers #Marvel fans out there? Feel free to follow and talk! Let's get our community together!
About me:
- He/Him
- PC/ PS5/ Nintendo Switch
- Pokemon &amp; Pokemon Go 
- Anime! (Currently in the high 300s for One Piece)
- Marvel &gt; DC"
1569137375426535424,@Malachi23504405 WHO are you I love you add my pokemon go please i will eat your ass and accept your gifts please heres my code 5888 2257 1511 i will marry you,159,@Malachi23504405 WHO are you I love you add my pokemon go please i will eat your ass and accept your gifts please heres my code 5888 2257 1511 i will marry you
1569136844134092801,"Let's be friends in Pokémon GO! My Trainer Code is 7338 8201 9600!

I'm relying on bots picking this up so I can get rid of these excess gifts",142,"Let's be friends in Pokémon GO! My Trainer Code is 7338 8201 9600!

I'm relying on bots picking this up so I can get rid of these excess gifts"
1569136812970352641,"@M3RK_Crash @garydodd11 @ChuckCallesto That’s it, if you didn’t get sick, it has to be safe for everyone else then. Dude you’re 12, your parents got you the shot. You can’t even legally make your own decisions. Go play pokemon.",227,"@M3RK_Crash @garydodd11 @ChuckCallesto That’s it, if you didn’t get sick, it has to be safe for everyone else then. Dude you’re 12, your parents got you the shot. You can’t even legally make your own decisions. Go play pokemon."
1569136537186467840,"love how i got three (3) separate e-mails telling me i bought pokecoins in pokemon go

thank you.",97,"love how i got three (3) separate e-mails telling me i bought pokecoins in pokemon go

thank you."
1569136497860972545,I'm at the rooftop Blackbear concert playing Pokemon go because Blackbear has gone missing,90,I'm at the rooftop Blackbear concert playing Pokemon go because Blackbear has gone missing
1569135922238705666,@MarsMar02 Me on Pokémon go 😭😭😭 lowkey I try to send the best postcards LMAO,76,@MarsMar02 Me on Pokémon go 😭😭😭 lowkey I try to send the best postcards LMAO
1569135916861767680,"PISSLOCKE IS STARTING NOW. 
-DRINK WATER EVERY BATTLE AND ENCOUNTER
-CANT GO TO THE BATHROOM UNLESS A POKEMON DIES OR I SACRIFICE THEM
-EVERY SUB I DRINK MORE WATER

SUBATHON STILL GOING

Lock in

https://t.co/EN305SvMx2",220,"PISSLOCKE IS STARTING NOW. 
-DRINK WATER EVERY BATTLE AND ENCOUNTER
-CANT GO TO THE BATHROOM UNLESS A POKEMON DIES OR I SACRIFICE THEM
-EVERY SUB I DRINK MORE WATER

SUBATHON STILL GOING

Lock in

https://t.co/EN305SvMx2"
1569135537851703296,Pokemon Go is really dumb becuase its dumb,42,Pokemon Go is really dumb becuase its dumb
1569135402166157314,"Lol my friends: ""Avert your eyes from the Pokemon merch when you go to pick it up""
Me: ""BUT POKEMON 😭😭😭""

Lord why am I still such a goddamn child",146,"Lol my friends: ""Avert your eyes from the Pokemon merch when you go to pick it up""
Me: ""BUT POKEMON 😭😭😭""

Lord why am I still such a goddamn child"
1569135358927077376,@gaypoetalt Didn't know you played pokemon go,45,@gaypoetalt Didn't know you played pokemon go
1569134961235476486,"💫NEW SHORT UP💫

The Best Pack of Pokemon GO Ever?!
https://t.co/D76Xqqxp5h

#Pokemon #TheCrimsonTrainer",103,"💫NEW SHORT UP💫

The Best Pack of Pokemon GO Ever?!
https://t.co/D76Xqqxp5h

#Pokemon #TheCrimsonTrainer"
1569134711154552834,"6 games 6 tags? How does one tweet again? @TheWolf_eyed MADE ME DO IT! 

1) Dinkum
2) Among Us
3) Valorant
4) Fall Guys 
5) Phasmophobia
6) Pokémon Go                            @SAS_Kwatch @ZEROxFUSIONZ @bored2tearsNick @Mr_Fluuff @jrmgnz @DarkWolve007",253,"6 games 6 tags? How does one tweet again? @TheWolf_eyed MADE ME DO IT! 

1) Dinkum
2) Among Us
3) Valorant
4) Fall Guys 
5) Phasmophobia
6) Pokémon Go                            @SAS_Kwatch @ZEROxFUSIONZ @bored2tearsNick @Mr_Fluuff @jrmgnz @DarkWolve007"
1569134639595556864,I was playing Pokemon Go today when suddenly a shiny... Kogi?? @TheKingKogi https://t.co/TSdQqkfTBf,75,I was playing Pokemon Go today when suddenly a shiny... Kogi?? @TheKingKogi https://t.co/TSdQqkfTBf
1569134135242801152,"@AStudy_in_space Ohh I have Lego games, Mario Kart, Super Smash bros, so many Pokémon games and more. I go by my real name (Jen) on there so ya. I’ll dm you my code",164,"@AStudy_in_space Ohh I have Lego games, Mario Kart, Super Smash bros, so many Pokémon games and more. I go by my real name (Jen) on there so ya. I’ll dm you my code"
1569134025381662720,@louisbeastars LITERALLY LIKE OMFG IF YOURE GOING TO MARK UP RETAIL THEN IM JUST GOING TO GO TO A PRIVATE BUSINESS INSTEAD! FUCK YOU! i have returned every single pokemon plush i bought from them for the past several years because EVERY TIME im surprised. They had pokemon center plush at one-,293,@louisbeastars LITERALLY LIKE OMFG IF YOURE GOING TO MARK UP RETAIL THEN IM JUST GOING TO GO TO A PRIVATE BUSINESS INSTEAD! FUCK YOU! i have returned every single pokemon plush i bought from them for the past several years because EVERY TIME im surprised. They had pokemon center plush at one-
1569133972466323457,"@PokemonGOHubNet  Let's be friends in Pokémon GO! My Trainer Code is 1740 5589 5457!

I send gifts 2 times a day. 

This is my back up account",142,"@PokemonGOHubNet  Let's be friends in Pokémon GO! My Trainer Code is 1740 5589 5457!

I send gifts 2 times a day. 

This is my back up account"
1569133896494895108,"@TheSilphRoad  Let's be friends in Pokémon GO! My Trainer Code is 1740 5589 5457!

I send gifts 2 times a day. 

This is my back up account",139,"@TheSilphRoad  Let's be friends in Pokémon GO! My Trainer Code is 1740 5589 5457!

I send gifts 2 times a day. 

This is my back up account"
1569133849170542594,"Diary of a Pokemon Go Legend: Anthology 1 (Diary of a Pokemon Go Legend - Anthology) [6AE4Y6H]

https://t.co/HUWAVm377A",119,"Diary of a Pokemon Go Legend: Anthology 1 (Diary of a Pokemon Go Legend - Anthology) [6AE4Y6H]

https://t.co/HUWAVm377A"
1569133821827907585,"@PokemonGoApp   Let's be friends in Pokémon GO! My Trainer Code is 1740 5589 5457!

I send gifts 2 times a day. 

This is my back up account",140,"@PokemonGoApp   Let's be friends in Pokémon GO! My Trainer Code is 1740 5589 5457!

I send gifts 2 times a day. 

This is my back up account"
