1569067683601158144,pegou boost do rocket league https://t.co/V1lGredpXx,28,pegou boost do rocket league https://t.co/V1lGredpXx
1569067636448952321,Your @kansasspeedway Rocket League tournament champs! 🏆 https://t.co/7Ylz8m3qlP,55,Your @kansasspeedway Rocket League tournament champs! 🏆 https://t.co/7Ylz8m3qlP
1569067358919991296,@KOI Rocket league,18,@KOI Rocket league
1569067260785868802,just won 10 matches in Rocket League in a row https://t.co/QdK6XfsJ7k,45,just won 10 matches in Rocket League in a row https://t.co/QdK6XfsJ7k
1569066512077447168,"What a game tonight streaming ROCKET LEAGUE and come and watch my stream. 

https://t.co/hdWjUey2TZ

#twitch #twitchgamer #gamergirl",132,"What a game tonight streaming ROCKET LEAGUE and come and watch my stream. 

https://t.co/hdWjUey2TZ

#twitch #twitchgamer #gamergirl"
1569065853702012928,J'adore Minecraft rocket league brawl stars CSGO,48,J'adore Minecraft rocket league brawl stars CSGO
1569065824488660992,"Clean in-air control being showcased in our Rocket League Tryouts. This team is going to be sick.

#MSUesports https://t.co/4SslCxdOMQ",110,"Clean in-air control being showcased in our Rocket League Tryouts. This team is going to be sick.

#MSUesports https://t.co/4SslCxdOMQ"
1569065787427590145,"@Poncholatte_ No worries, we all been there. Diamond 1 in Rocket League to Plat 1 🤡 I’m one division for Champion but I still remember that suffering of going down",163,"@Poncholatte_ No worries, we all been there. Diamond 1 in Rocket League to Plat 1 🤡 I’m one division for Champion but I still remember that suffering of going down"
1569065723628081164,"@NyanNyanners Best I can think of is Rocket League with steering wheels and pedals for every Vtubers participacing, plus their avatars actually present in the cars.",164,"@NyanNyanners Best I can think of is Rocket League with steering wheels and pedals for every Vtubers participacing, plus their avatars actually present in the cars."
1569065705882152961,@NOLOAF We can normalize rocket league playing for an eternity or two https://t.co/4mJU4lwhQ1,69,@NOLOAF We can normalize rocket league playing for an eternity or two https://t.co/4mJU4lwhQ1
1569065358023180288,POV you told me I was gonna be Champ in Rocket League when I started playing the game in 2017 https://t.co/HJeQnlXdd1,93,POV you told me I was gonna be Champ in Rocket League when I started playing the game in 2017 https://t.co/HJeQnlXdd1
1569064801372090368,"Unfortunately, our Academy Rocket League team lost 0-3 to Florida Southern. GG's @MocsEsports @PeachBelt https://t.co/3329drk2S9",104,"Unfortunately, our Academy Rocket League team lost 0-3 to Florida Southern. GG's @MocsEsports @PeachBelt https://t.co/3329drk2S9"
1569064687614185472,21y Rocket League player ~ GC2~ in contract for Eclipsar Industries🐝,68,21y Rocket League player ~ GC2~ in contract for Eclipsar Industries🐝
1569063681446526977,Check out my broadcast from my PlayStation 4! #PS4live (Rocket League®)  live at https://t.co/iC3KyA6pI2,104,Check out my broadcast from my PlayStation 4! #PS4live (Rocket League®)  live at https://t.co/iC3KyA6pI2
1569063605869645825,@VeridanMain The only comp I religiously played is Rocket League comp o7,72,@VeridanMain The only comp I religiously played is Rocket League comp o7
1569062280016322561,"MOCS WIN

Mocs Rocket League moves to 2-0 in @PeachBelt action after they defeat Georgia Southwestern! #LetsGoMocs https://t.co/WwNRiEvNxB",114,"MOCS WIN

Mocs Rocket League moves to 2-0 in @PeachBelt action after they defeat Georgia Southwestern! #LetsGoMocs https://t.co/WwNRiEvNxB"
1569061293876969472,@baianolol1 Rocket league,25,@baianolol1 Rocket league
1569061128503808006,THIS IS ROCKET LEAGUE https://t.co/SNFkMTOq4Q,21,THIS IS ROCKET LEAGUE https://t.co/SNFkMTOq4Q
1569060629280956417,"@BrentASJax Brent, the O-line has been one of the worst in the league for a decade. At what point does the biased Jags media just accept the fact that the ownership and leadership of the team don't care? Building a competent O-line isn't rocket science",252,"@BrentASJax Brent, the O-line has been one of the worst in the league for a decade. At what point does the biased Jags media just accept the fact that the ownership and leadership of the team don't care? Building a competent O-line isn't rocket science"
1569060054296297474,"Upcoming Schedule on Twitch:
M/F - NHL 22, W - MTG Arena, Su - Rocket League, Weekday Afternoons - FF LPs
Upcoming Schedule on Anchor:
Sa - The Weekly Faceoff, Su - The Weekly Drive https://t.co/CWsQfoXOs1",181,"Upcoming Schedule on Twitch:
M/F - NHL 22, W - MTG Arena, Su - Rocket League, Weekday Afternoons - FF LPs
Upcoming Schedule on Anchor:
Sa - The Weekly Faceoff, Su - The Weekly Drive https://t.co/CWsQfoXOs1"
1569059732463181828,THIS IS ROCKET LEAGUE #NFLaddition,34,THIS IS ROCKET LEAGUE #NFLaddition
