1568353739446026240,@R1tanium Rocket League,23,@R1tanium Rocket League
1568353296850591745,"No formal broadcast, but Rocket League will be Streaming on the Twitch channel at 7 and 9 tonight https://t.co/u22id7E3wt #LiveUpdates",134,"No formal broadcast, but Rocket League will be Streaming on the Twitch channel at 7 and 9 tonight https://t.co/u22id7E3wt #LiveUpdates"
1568352939265200129,Celebrate McLean Esports Rocket League Booth https://t.co/mF0UO5YIHU,44,Celebrate McLean Esports Rocket League Booth https://t.co/mF0UO5YIHU
1568352815365636096,I can’t trust someone who regularly plays rocket league,55,I can’t trust someone who regularly plays rocket league
1568352480723091457,@googoo6969 @GuyUnderdog @diomedian @Unyshek Beating Rocket League is a huge deal as RL is a very popular game,110,@googoo6969 @GuyUnderdog @diomedian @Unyshek Beating Rocket League is a huge deal as RL is a very popular game
1568352234345226240,i played my first game of rocket league w c19 yesterday and the opponent told him to get a better teammate BYE 😭 https://t.co/BERto65qZj,112,i played my first game of rocket league w c19 yesterday and the opponent told him to get a better teammate BYE 😭 https://t.co/BERto65qZj
1568352152329797638,@TasticLane Left mid rocket league tournament ive decided to go further with this. Get Ratio`d,94,@TasticLane Left mid rocket league tournament ive decided to go further with this. Get Ratio`d
1568352110420312064,"No Premier League footy 😭 La Liga, Bundesliga, Serie A and Ligue 1 TV figures about to sky rocket this weekend 😅",112,"No Premier League footy 😭 La Liga, Bundesliga, Serie A and Ligue 1 TV figures about to sky rocket this weekend 😅"
1568351824142569472,"Intro!

Just a casual gamer, looking to expand my friends list &amp; talk of all things gaming! My main games are:

1) Destiny 2
2) Rocket League
3) Dragon Age Inquisition
4) Mass Effect series
5) Uncharted series

I play other things too but these are def my top faves (in no order)",283,"Intro!

Just a casual gamer, looking to expand my friends list &amp; talk of all things gaming! My main games are:

1) Destiny 2
2) Rocket League
3) Dragon Age Inquisition
4) Mass Effect series
5) Uncharted series

I play other things too but these are def my top faves (in no order)"
1568351673508143105,We need 3 more followers to reach 500 on TikTok! It would mean a lot to us if you clicked the link on our page and dropped a follow! We will also be live tonight at 7pm EST on twitch for our FIRST affiliate stream playing Warzone and Rocket League! Link in the comments!,270,We need 3 more followers to reach 500 on TikTok! It would mean a lot to us if you clicked the link on our page and dropped a follow! We will also be live tonight at 7pm EST on twitch for our FIRST affiliate stream playing Warzone and Rocket League! Link in the comments!
1568351630394802178,Thoughts on the new Honda Civic in Rocket League?,49,Thoughts on the new Honda Civic in Rocket League?
1568351454632759296,since when tf did my school have a rocket league team https://t.co/S2uqWXek67,53,since when tf did my school have a rocket league team https://t.co/S2uqWXek67
1568351263271550978,"@CocoMikey4 Hey there! Thank you for reporting this, we are happy to help! Go ahead and try these troubleshooting steps: https://t.co/3KCUMOXBbW. You can also submit a support ticket if the issue keeps occurring.",212,"@CocoMikey4 Hey there! Thank you for reporting this, we are happy to help! Go ahead and try these troubleshooting steps: https://t.co/3KCUMOXBbW. You can also submit a support ticket if the issue keeps occurring."
1568351139015573505,"However they hate Ash,
However they harrassed Ash,
But In the End...When Ash battle in league or tournament
Team Rocket support for Ash is
MAXED!!😭❤️
The best gang 😭😭

#anipoke https://t.co/hqlqRijNXC",176,"However they hate Ash,
However they harrassed Ash,
But In the End...When Ash battle in league or tournament
Team Rocket support for Ash is
MAXED!!😭❤️
The best gang 😭😭

#anipoke https://t.co/hqlqRijNXC"
1568350602601840640,i need ppl to play rocket league with ;-;;,42,i need ppl to play rocket league with ;-;;
1568349294658207745,"It's pretty cute to watch @lPapsl get better at a Rocket League, proud of ya 💜 https://t.co/UIzqBze9dT",78,"It's pretty cute to watch @lPapsl get better at a Rocket League, proud of ya 💜 https://t.co/UIzqBze9dT"
1568349272940093443,I'm becoming a Rocket League E-sports pro,41,I'm becoming a Rocket League E-sports pro
1568349173958987777,Lost in the YYG Rocket League Tournament but enjoyed it thoo !! Thankyou @0xLocCrypto for hosting the tournament enjoyed alot and thankyou @GuidolinGlins for being my partner even tho I never ever played this in my life 🙂😂 haha . #YYG4L #YY4L #YYG @ProjectYinYang ♥️ https://t.co/wYUHgv65Ch,266,Lost in the YYG Rocket League Tournament but enjoyed it thoo !! Thankyou @0xLocCrypto for hosting the tournament enjoyed alot and thankyou @GuidolinGlins for being my partner even tho I never ever played this in my life 🙂😂 haha . #YYG4L #YY4L #YYG @ProjectYinYang ♥️ https://t.co/wYUHgv65Ch
1568349038302609408,@GlintyTV There's always Rocket League! Free dopamine! https://t.co/G26z64Wsu0,54,@GlintyTV There's always Rocket League! Free dopamine! https://t.co/G26z64Wsu0
1568348976063156224,@pIanethan I was watching my wife play nintendo switch rocket league 💀💀💀,72,@pIanethan I was watching my wife play nintendo switch rocket league 💀💀💀
1568348584357265408,"Microsoft Xbox Series S Fortnite and Rocket League Bundle with Razer BlackShark V2 Pro Wireless Gaming Headset and 6Ave Clean [RCOQKJL]

https://t.co/frYeLpDWWp",160,"Microsoft Xbox Series S Fortnite and Rocket League Bundle with Razer BlackShark V2 Pro Wireless Gaming Headset and 6Ave Clean [RCOQKJL]

https://t.co/frYeLpDWWp"
1568348237320314883,finally hit an air dribble in rocket league against someone AND it was in my first ranked 1s match in so long lmao,114,finally hit an air dribble in rocket league against someone AND it was in my first ranked 1s match in so long lmao
1568348050904547329,"OG_RestDeezy now streaming Rocket League https://t.co/DfITa7Kods
#PotatoBombSquad #SmallStreamer #retweet #Twitch",113,"OG_RestDeezy now streaming Rocket League https://t.co/DfITa7Kods
#PotatoBombSquad #SmallStreamer #retweet #Twitch"
1568347836667895808,"🌟LEADERSHIP SPOTLIGHT🌟

Introducing Tyler (TeeHan), our Rocket League manager for the upcoming 2022-2023 year!🚗⚽️ https://t.co/quEy1Yc6L8",113,"🌟LEADERSHIP SPOTLIGHT🌟

Introducing Tyler (TeeHan), our Rocket League manager for the upcoming 2022-2023 year!🚗⚽️ https://t.co/quEy1Yc6L8"
1568347629880328192,@IsaacApp_ you down to play some Rocket League tonight wit me??,63,@IsaacApp_ you down to play some Rocket League tonight wit me??
1568347351995088897,GET IN ROCKET LEAGUE TOURNAMENT GUYS THERE'S A CHANCE TK WIN SL... IT'S ALREADY STARTED... 💜☯️ @ProjectYinYang @MaisonGhost @cryptokidsesh @jerezizzz @4422HM #YYG4L #YYG https://t.co/pbOOuzcq3H,169,GET IN ROCKET LEAGUE TOURNAMENT GUYS THERE'S A CHANCE TK WIN SL... IT'S ALREADY STARTED... 💜☯️ @ProjectYinYang @MaisonGhost @cryptokidsesh @jerezizzz @4422HM #YYG4L #YYG https://t.co/pbOOuzcq3H
1568347076588896258,@Krug_Crypto @0xArjay I should say Credits from Rocket League and V bucks from Fortnite.,88,@Krug_Crypto @0xArjay I should say Credits from Rocket League and V bucks from Fortnite.
1568346706713911301,"Gamer Malfunction Presents: Name Day stream! New season Rocket League let's get ranked!!! come say hi and have a drink with me! https://t.co/R3m7I2Vuq3
Posted by: Grogu Babe",173,"Gamer Malfunction Presents: Name Day stream! New season Rocket League let's get ranked!!! come say hi and have a drink with me! https://t.co/R3m7I2Vuq3
Posted by: Grogu Babe"
1568346288537718785,@PsyonixStudios can ya'll please explain to me how I have never gotten past silver in ranked rocket league and am getting put against plat tournament winners? Cause this feels like total BS to me,195,@PsyonixStudios can ya'll please explain to me how I have never gotten past silver in ranked rocket league and am getting put against plat tournament winners? Cause this feels like total BS to me
1568345836957978624,"Excuse the crudeness however, I've been getting my ass handed to me all day and then have 28 secs of what is happening. That's Rocket league for you. #RocketLeague #RL #Merc #GhettoCapture https://t.co/ZOlvahRQy0",188,"Excuse the crudeness however, I've been getting my ass handed to me all day and then have 28 secs of what is happening. That's Rocket league for you. #RocketLeague #RL #Merc #GhettoCapture https://t.co/ZOlvahRQy0"
1568345829181902848,"Welcome back, #SwedesRL!

Rocket League has a full schedule today, taking on the following opponents:

BC Gold vs Howard CC 5pm
BC Blue vs UTD 6:30pm
BC Blue vs CC White 8pm
BC Gold vs Illinois State 9pm

All of the action can be found at https://t.co/0tLJ8VY2Xz!

#SwedesRise https://t.co/UO2f26VtDr",276,"Welcome back, #SwedesRL!

Rocket League has a full schedule today, taking on the following opponents:

BC Gold vs Howard CC 5pm
BC Blue vs UTD 6:30pm
BC Blue vs CC White 8pm
BC Gold vs Illinois State 9pm

All of the action can be found at https://t.co/0tLJ8VY2Xz!

#SwedesRise https://t.co/UO2f26VtDr"
1568345710847827971,"Its with great pleasure we Announce our New Competitive rocket league roster ♥️ #silentbutdeadly 

- @Kn0ws1s 
- @Tiz71RL 
- @J6onyt1 
- @JohnathanUnholy https://t.co/l4jgZZ8Wdz",153,"Its with great pleasure we Announce our New Competitive rocket league roster ♥️ #silentbutdeadly 

- @Kn0ws1s 
- @Tiz71RL 
- @J6onyt1 
- @JohnathanUnholy https://t.co/l4jgZZ8Wdz"
1568345318714126338,"GAME DAY! 
Rocket League is in @neccgames Activation Week 1!

Red Team
🆚 @UofLEsports 5PM
🆚 @MVNUESPORTS 6PM

Black Team
🆚 @EsportsUah 6PM
🆚 @BakeruEsports 7PM

White Team
🆚 @una_esports 5PM
🆚 @otsu_esports 6PM

📺 LIVE on https://t.co/GXuRxT578i https://t.co/FCXrjp89ev",245,"GAME DAY! 
Rocket League is in @neccgames Activation Week 1!

Red Team
🆚 @UofLEsports 5PM
🆚 @MVNUESPORTS 6PM

Black Team
🆚 @EsportsUah 6PM
🆚 @BakeruEsports 7PM

White Team
🆚 @una_esports 5PM
🆚 @otsu_esports 6PM

📺 LIVE on https://t.co/GXuRxT578i https://t.co/FCXrjp89ev"
1568345249189367813,@tiramisuki_ @font_of_you I don’t wanna hear shit from YOU Suki about rocket league when you let certain people play it in peace LMAOOOO,136,@tiramisuki_ @font_of_you I don’t wanna hear shit from YOU Suki about rocket league when you let certain people play it in peace LMAOOOO
1568344913976369153,"Smith, Buhay and Jimenez cruise to a 3-0 sweep in their @playvs California Region Rocket League preseason opener. 

#gopioneers #pioneerstogether https://t.co/pDZ1ZtDtuH",145,"Smith, Buhay and Jimenez cruise to a 3-0 sweep in their @playvs California Region Rocket League preseason opener. 

#gopioneers #pioneerstogether https://t.co/pDZ1ZtDtuH"
1568344866979192832,@Darkku__ @font_of_you You two would like pretzels...a couple of rocket league lovin-,85,@Darkku__ @font_of_you You two would like pretzels...a couple of rocket league lovin-
1568344000633110528,got accepted into my uni's rocket league club https://t.co/TDvngpZsxa,45,got accepted into my uni's rocket league club https://t.co/TDvngpZsxa
1568343806130663426,"Going Live with Rocket League, come and join us: https://t.co/1tOiweOWLb",72,"Going Live with Rocket League, come and join us: https://t.co/1tOiweOWLb"
1568343692590682113,"New member of the Rocket League SidesWipe team!
Welcome CRYPTIC! https://t.co/pF6HbVQI1W",64,"New member of the Rocket League SidesWipe team!
Welcome CRYPTIC! https://t.co/pF6HbVQI1W"
1568343595836493826,"Representing #Colombia with my little brother on Rocket League.

This game is way more fun than it has any right to be.

🇨🇴🇨🇴🇨🇴🇨🇴 https://t.co/LVibznEGJ6",129,"Representing #Colombia with my little brother on Rocket League.

This game is way more fun than it has any right to be.

🇨🇴🇨🇴🇨🇴🇨🇴 https://t.co/LVibznEGJ6"
1568343402944552962,"Gonna try to find time this weekend to pop a stream, it might be a little difficult with the overtime im having to work, but I miss streaming and interacting with everyone and it’s either gonna be Apex, rocket league, or even Valhalla when I wanna “relax” a little",264,"Gonna try to find time this weekend to pop a stream, it might be a little difficult with the overtime im having to work, but I miss streaming and interacting with everyone and it’s either gonna be Apex, rocket league, or even Valhalla when I wanna “relax” a little"
1568343339002642432,I'm now streaming on Twitch! Playing Rocket League https://t.co/Lgm66Bt1Gr,74,I'm now streaming on Twitch! Playing Rocket League https://t.co/Lgm66Bt1Gr
1568343094860615680,"Type R made its way into Rocket League. 

Named mine the Rice R. https://t.co/WQpBzlDITY",64,"Type R made its way into Rocket League. 

Named mine the Rice R. https://t.co/WQpBzlDITY"
1568342865310355458,"We're already 1 hour into our 24 hour stream!! Playing Rocket League with my bro's. Thank you @heights_md for the crazy raid to start us off! We have 2 giveaways going on tonight and then one for Subscribers/Sub-Gifters tomorrow!

https://t.co/jbxRKPRGHI",254,"We're already 1 hour into our 24 hour stream!! Playing Rocket League with my bro's. Thank you @heights_md for the crazy raid to start us off! We have 2 giveaways going on tonight and then one for Subscribers/Sub-Gifters tomorrow!

https://t.co/jbxRKPRGHI"
1568342690240299008,@Elunbekannt_ @manucruzdmz juega super bien rocket league y fall guys,69,@Elunbekannt_ @manucruzdmz juega super bien rocket league y fall guys
1568342445032886277,@RASCofficial @Rooflemonger So you get this very nice mix of hitbox and classic arcade stick that is very user friendly. Plus has the ability to be used on a switch and has some really wild profiles that can be used to even play something like Rocket League on it,263,@RASCofficial @Rooflemonger So you get this very nice mix of hitbox and classic arcade stick that is very user friendly. Plus has the ability to be used on a switch and has some really wild profiles that can be used to even play something like Rocket League on it
1568341993469919232,should i quit rocket league bc its genuinely not fun when like 1 person plays 2s with you per month,99,should i quit rocket league bc its genuinely not fun when like 1 person plays 2s with you per month
1568341631966781443,@I_DO_JUEGOS I know what you mean but I am still playing it because there is no such game. Rocket league is closer to football than FIFA lol. You are actually taking shots and not pressing a button to watch a script.,216,@I_DO_JUEGOS I know what you mean but I am still playing it because there is no such game. Rocket league is closer to football than FIFA lol. You are actually taking shots and not pressing a button to watch a script.
1568341471924998144,"@nonononnnnnnnon @Vatira5 You realise Kaydop was there from the start of dignitas in rocket league what does it mean ""as they used to be"". And sure winning two RLCS in a row and be in 3 RLCS Grand Finals in a row is not succesful ^^ are you ok?",244,"@nonononnnnnnnon @Vatira5 You realise Kaydop was there from the start of dignitas in rocket league what does it mean ""as they used to be"". And sure winning two RLCS in a row and be in 3 RLCS Grand Finals in a row is not succesful ^^ are you ok?"
1568341348385755136,"@I_DO_JUEGOS @GTskilled Lmao. My kid plays rocket league in ps4 tournaments. It's a fantastic free to play game that only became better because of the larger player base. And besides, get a friend and who cares who you play against. Lol",236,"@I_DO_JUEGOS @GTskilled Lmao. My kid plays rocket league in ps4 tournaments. It's a fantastic free to play game that only became better because of the larger player base. And besides, get a friend and who cares who you play against. Lol"
1568340498816929795,"Rocket League Tournament
@0xLocCrypto @Shiniga96 @Bobbystick4 @jerezizzz @ProjectYinYang https://t.co/HDjxlKOsAR",88,"Rocket League Tournament
@0xLocCrypto @Shiniga96 @Bobbystick4 @jerezizzz @ProjectYinYang https://t.co/HDjxlKOsAR"
1568339941247127553,"-Mom, can I buy Rocket League
-No you have Rocket League at home
Rocket League at home: https://t.co/SB2J9mqv2i",87,"-Mom, can I buy Rocket League
-No you have Rocket League at home
Rocket League at home: https://t.co/SB2J9mqv2i"
1568339722027827200,"@I_DO_JUEGOS Indeed. Smart people should know what f2p means. The whole ""experience"" is build around that... But most people don't understand their own hobby lol

Only f2p game I ever played was rocket league and that became f2p after a normal start. So this is not build around crap and grind",293,"@I_DO_JUEGOS Indeed. Smart people should know what f2p means. The whole ""experience"" is build around that... But most people don't understand their own hobby lol

Only f2p game I ever played was rocket league and that became f2p after a normal start. So this is not build around crap and grind"
1568339480678891521,@Faith_RL1 rocket league in general makes me suicidal,53,@Faith_RL1 rocket league in general makes me suicidal
1568339220934041608,@CastagnaToto @CableSoldierX Rocket league wannabe trash card game sea of thieves rip off,89,@CastagnaToto @CableSoldierX Rocket league wannabe trash card game sea of thieves rip off
1568338937894035457,…I literally only play Rocket League. https://t.co/333PeL60f1,37,…I literally only play Rocket League. https://t.co/333PeL60f1
1568338705177272321,"Number 1 rocket league player going live now…. No cap! 

Don’t forget !charity in the chat 

https://t.co/pi6uIiFefY
#RocketLeague #cap #charity",144,"Number 1 rocket league player going live now…. No cap! 

Don’t forget !charity in the chat 

https://t.co/pi6uIiFefY
#RocketLeague #cap #charity"
1568338682486325248,"@LiquipediaRL @RLEsports Liquipedia and talking about Rocket League earnings, name a better duo.",96,"@LiquipediaRL @RLEsports Liquipedia and talking about Rocket League earnings, name a better duo."
1568338629553954817,@Lethamyr_RL you sure you want the entire rocket league community to know where you live?,89,@Lethamyr_RL you sure you want the entire rocket league community to know where you live?
1568337917659222016,Name Day stream! New season Rocket League let's get ranked!!!  have a drink with me! #rocketleague #smallstreamerscomunity #twitch #livenow https://t.co/JNyqe1GrnB,163,Name Day stream! New season Rocket League let's get ranked!!!  have a drink with me! #rocketleague #smallstreamerscomunity #twitch #livenow https://t.co/JNyqe1GrnB
1568337689061072896,"Rocket League Esports Players Winnings' Comparison:

After RLCS Season 9 v After RLCS Season X v After RLCS 2021-22!

@Kaydops has been at the top of the Players' Winnings since late 2017!

@RLEsports #RLCS https://t.co/i00vXqGeW9",206,"Rocket League Esports Players Winnings' Comparison:

After RLCS Season 9 v After RLCS Season X v After RLCS 2021-22!

@Kaydops has been at the top of the Players' Winnings since late 2017!

@RLEsports #RLCS https://t.co/i00vXqGeW9"
1568337404183855105,@KitiKatNeko Ayo when we teaming on rocket league again xD,58,@KitiKatNeko Ayo when we teaming on rocket league again xD
1568337299087282176,"@bluestacksinc Hi, @bluestacksinc can you fix Rocket league sideswipe in Bluestack 4 64 Bit thank you !",103,"@bluestacksinc Hi, @bluestacksinc can you fix Rocket league sideswipe in Bluestack 4 64 Bit thank you !"
1568337065682542598,"I don't know which is worse, the SoloQ Valorant or Rocket League 🫥",66,"I don't know which is worse, the SoloQ Valorant or Rocket League 🫥"
1568336762120060930,@WomenInRL women in rocket league 💕,35,@WomenInRL women in rocket league 💕
1568336552694272000,"Tonight we're back to some Rocket League!

Come watch us live at 9pm tonight on twitch! 🟡🔵 https://t.co/pgpZJjIQzh",90,"Tonight we're back to some Rocket League!

Come watch us live at 9pm tonight on twitch! 🟡🔵 https://t.co/pgpZJjIQzh"
1568336449895792640,Got called fat and ‘kys’ on rocket league https://t.co/GvWVUwEIfQ,41,Got called fat and ‘kys’ on rocket league https://t.co/GvWVUwEIfQ
1568335476133601290,rocket league ???????? https://t.co/Frzsg5TNv4,22,rocket league ???????? https://t.co/Frzsg5TNv4
1568335373553799168,THIS IS ROCKET LEAGUE!! https://t.co/FqfuRq55BA,47,THIS IS ROCKET LEAGUE!! https://t.co/FqfuRq55BA
1568334785512185859,https://t.co/0xcCk1RixP we’re live playing Rocket League we live #twitchstreamer #RocketLeague,94,https://t.co/0xcCk1RixP we’re live playing Rocket League we live #twitchstreamer #RocketLeague
1568334543106490369,"to all of the women in rocket league, i love you, you’re the best https://t.co/dawuAdrN8X",65,"to all of the women in rocket league, i love you, you’re the best https://t.co/dawuAdrN8X"
1568333628626669570,@AcidentesT rocket league,25,@AcidentesT rocket league
1568333494715314176,@theinfrunami Rocket league wannabe trash game,46,@theinfrunami Rocket league wannabe trash game
1568333309016682498,"Should I Watch imbigmikee Playing Rocket League Now? 🎱 ""It Is Decidedly So"" https://t.co/nI9K0G6Zbf",99,"Should I Watch imbigmikee Playing Rocket League Now? 🎱 ""It Is Decidedly So"" https://t.co/nI9K0G6Zbf"
1568331751734272007,"𝐏𝐑𝐄𝐒𝐄𝐀𝐒𝐎𝐍!

Our Rocket League team kicks off @neccgames Activation with some hype matches tonight ‼

Who do you think will take the W? 🤔

#PacerPride | #FierceFocusedFirst https://t.co/a9Z9TWuvA8",171,"𝐏𝐑𝐄𝐒𝐄𝐀𝐒𝐎𝐍!

Our Rocket League team kicks off @neccgames Activation with some hype matches tonight ‼

Who do you think will take the W? 🤔

#PacerPride | #FierceFocusedFirst https://t.co/a9Z9TWuvA8"
1568331666095050753,"@Gregan has to be rocket league solely because you screw up, you’re done. valorant you have multiple rounds. i like the tactics that comes with that in val but the pressure in RL OT’s are insane",194,"@Gregan has to be rocket league solely because you screw up, you’re done. valorant you have multiple rounds. i like the tactics that comes with that in val but the pressure in RL OT’s are insane"
1568331189811019776,@STX_RL Rocket league matchmaking hahah,39,@STX_RL Rocket league matchmaking hahah
1568329736111153152,"@Gregan Rocket League OT is intense by default. 

Valorant OT is highly dependent on the situation presented.",109,"@Gregan Rocket League OT is intense by default. 

Valorant OT is highly dependent on the situation presented."
1568329490559897601,if u wanna peak in rocket league listen to hardstyle trust me,61,if u wanna peak in rocket league listen to hardstyle trust me
1568329164830216195,Wow the new season of Rocket League is terrible.,48,Wow the new season of Rocket League is terrible.
1568328984588337156,Check out my broadcast from my PlayStation 4! #PS4live (Rocket League®)  live at https://t.co/1xpbHE9XoX,104,Check out my broadcast from my PlayStation 4! #PS4live (Rocket League®)  live at https://t.co/1xpbHE9XoX
1568328536766779392,rocket league diamond teammates are so braindead,48,rocket league diamond teammates are so braindead
1568328023706828800,"New Video Again👍🏼

When 2 off-brand pros match against each other in Rocket League...
https://t.co/HQDKPYvqoR https://t.co/Q1kCvF618u",109,"New Video Again👍🏼

When 2 off-brand pros match against each other in Rocket League...
https://t.co/HQDKPYvqoR https://t.co/Q1kCvF618u"
1568327718948798465,@AcidentesT rocket league,25,@AcidentesT rocket league
1568327241968279553,"@Liefx @Gregan Screaming at the DRX overtimes today and yesterday, but nothing will top a Rocket League OT",106,"@Liefx @Gregan Screaming at the DRX overtimes today and yesterday, but nothing will top a Rocket League OT"
1568327226168320002,I'm now streaming on Twitch! Playing Rocket League https://t.co/Kuuo3Ta3fm,74,I'm now streaming on Twitch! Playing Rocket League https://t.co/Kuuo3Ta3fm
1568326887063027713,@RocketLeague AHHHHH THE CIVICCCC IM GETTING BACK ON ROCKET LEAGUE,66,@RocketLeague AHHHHH THE CIVICCCC IM GETTING BACK ON ROCKET LEAGUE
1568326209062473729,"Streaming some rocket league at 8 PM EST TONIGHT

Come say hi 👋",63,"Streaming some rocket league at 8 PM EST TONIGHT

Come say hi 👋"
1568325419165974531,"@DanCanova @JeffPassan If a team is shifting because you pull the ball, learn how to hit the other way, it’s not rocket science, whats the league min, $500K, give me a f*ckin break. If a team wants all their fielders in right field, let’em, who cares? Good job MLB🤦‍♂️ u suck!",276,"@DanCanova @JeffPassan If a team is shifting because you pull the ball, learn how to hit the other way, it’s not rocket science, whats the league min, $500K, give me a f*ckin break. If a team wants all their fielders in right field, let’em, who cares? Good job MLB🤦‍♂️ u suck!"
1568324842759540736,"@Gregan From a storytelling perspective: 
in pubs, Rocket League has more tension because the stakes are higher by default. You miss a save, you lose. 

In VAL: it's okay guys, we still have 1–♾️ more chances (or draw if we're sleepy)

In esports, depends on what's at stake.",275,"@Gregan From a storytelling perspective: 
in pubs, Rocket League has more tension because the stakes are higher by default. You miss a save, you lose. 

In VAL: it's okay guys, we still have 1–♾️ more chances (or draw if we're sleepy)

In esports, depends on what's at stake."
1568324728619941889,"@TedGabbard I blame you for not telling me about these

https://t.co/2cjU6CCpPi",79,"@TedGabbard I blame you for not telling me about these

https://t.co/2cjU6CCpPi"
1568324254810394629,Im here trying to play! Come and joing for a laugh! Playing Rocket League https://t.co/KqUMTQtRcp #live #twitch #rocketleague,125,Im here trying to play! Come and joing for a laugh! Playing Rocket League https://t.co/KqUMTQtRcp #live #twitch #rocketleague
1568323973368238081,@QuantumOmen Have a look in rocket league discord,49,@QuantumOmen Have a look in rocket league discord
1568323876920393728,Playin rocket league rn :D,26,Playin rocket league rn :D
1568323187196272648,@LukeBot144 @TeamCelestiaRL shut up Luke you code bots for rocket league for a living,85,@LukeBot144 @TeamCelestiaRL shut up Luke you code bots for rocket league for a living
1568322057481654273,"@ph1xer_philly Rocket league, little bit of WoW or cs when the itch comes. Some ppl only watch for certain games, but the people who come for you will stay for variety. Mental over everything imo",195,"@ph1xer_philly Rocket league, little bit of WoW or cs when the itch comes. Some ppl only watch for certain games, but the people who come for you will stay for variety. Mental over everything imo"
1568321950874755075,@CryptoWizardd Rocket League,28,@CryptoWizardd Rocket League
1568321213931429889,"📣WATCH ME IN ACTION#4📣
(ROCKET LEAGUE RANKED)
FOLLOW ME
YOUTUBE: Josué Collazo
TWITCH: xCollazoo
INSTAGRAM: @xcollazoo 
TIKTOK: @X_collazo_X

#RocketLeague #Watchmeinaction #Content #ranked #Epicwins #hype #Havingfun #videogames #gamingcommunity #Followme #Highlights https://t.co/1k26m3iTZT",267,"📣WATCH ME IN ACTION#4📣
(ROCKET LEAGUE RANKED)
FOLLOW ME
YOUTUBE: Josué Collazo
TWITCH: xCollazoo
INSTAGRAM: @xcollazoo 
TIKTOK: @X_collazo_X

#RocketLeague #Watchmeinaction #Content #ranked #Epicwins #hype #Havingfun #videogames #gamingcommunity #Followme #Highlights https://t.co/1k26m3iTZT"
1568321111292792832,"RIP the Queen - Rocket League
Link:
https://t.co/tEL2pUWLve

#rocketleague #rocketleagueclips #rocketleaguegoals #rocketleaguevideos #rocketleaguememes #rocketleaguegame #rocketleaguewins https://t.co/4OQICvujHu",187,"RIP the Queen - Rocket League
Link:
https://t.co/tEL2pUWLve

#rocketleague #rocketleagueclips #rocketleaguegoals #rocketleaguevideos #rocketleaguememes #rocketleaguegame #rocketleaguewins https://t.co/4OQICvujHu"
1568320970808516616,"A couple new clips on the tiktok. 2 Rocket League and a forza one. Yes, the Forza one is a bit longer, but that battle was too good to split up at all.",151,"A couple new clips on the tiktok. 2 Rocket League and a forza one. Yes, the Forza one is a bit longer, but that battle was too good to split up at all."
1568320930950139911,"@KScheidt_RL I believe so too, especially when you see how often orgs have left Rocket League and disbanding the teams.",119,"@KScheidt_RL I believe so too, especially when you see how often orgs have left Rocket League and disbanding the teams."
1568320904957935618,"#RocketLeagueSeason8 #RocketLeague #RocketPass includes the NEW #HondaCivic Type R in the #RocketLeagueShop #EpicPartner
 
🏎 https://t.co/h6kEi5n6kL https://t.co/hHUu1yBhvY",148,"#RocketLeagueSeason8 #RocketLeague #RocketPass includes the NEW #HondaCivic Type R in the #RocketLeagueShop #EpicPartner
 
🏎 https://t.co/h6kEi5n6kL https://t.co/hHUu1yBhvY"
1568320443429392388,@elonmusk aye im poor and could really use a tesla that can self drive and play steam so i can get good at rocket league,120,@elonmusk aye im poor and could really use a tesla that can self drive and play steam so i can get good at rocket league
1568320224931225603,@divangreedy88 @klobrille Mmmm how is destiny 2 and rocket league under Halo though,83,@divangreedy88 @klobrille Mmmm how is destiny 2 and rocket league under Halo though
1568319046432456704,"LIVE MULTI-JEUX (BRAWLSTAR,FORTNITE,ROCKET LEAGUE...) https://t.co/hRSOUNpYlu via @YouTube",90,"LIVE MULTI-JEUX (BRAWLSTAR,FORTNITE,ROCKET LEAGUE...) https://t.co/hRSOUNpYlu via @YouTube"
1568318883118948352,"@synaktis @Fl4tLinr @TaNOs561_ @blong0234 @FxChiP @xyzliseth -Rocket League
-Escape From Tarkov
-PUBG | Super People (generell BR)
-Rainbow Six: Siege
-Hunt: Showdown
-Age of Empires 2 HD bzw Age of Empires 4",208,"@synaktis @Fl4tLinr @TaNOs561_ @blong0234 @FxChiP @xyzliseth -Rocket League
-Escape From Tarkov
-PUBG | Super People (generell BR)
-Rainbow Six: Siege
-Hunt: Showdown
-Age of Empires 2 HD bzw Age of Empires 4"
1568318551743684608,@lukesterryx Rocket league?😂,28,@lukesterryx Rocket league?😂
1568318475566813187,don't sleep before rocket league finishes downloading challenge,63,don't sleep before rocket league finishes downloading challenge
1568318389667381248,Check out my broadcast from my PlayStation 4! #PS4live (Rocket League®)  live at https://t.co/Ni3V5PzRmy,104,Check out my broadcast from my PlayStation 4! #PS4live (Rocket League®)  live at https://t.co/Ni3V5PzRmy
1568318342552817671,"*Rocket League New Season* Bissel dies, bissle das ... Ananas https://t.co/gu5il58K8v",85,"*Rocket League New Season* Bissel dies, bissle das ... Ananas https://t.co/gu5il58K8v"
1568317888494272517,"Don’t hate the player, hate the game… unless the game is rocket league. Then it’s probably the games fault.",107,"Don’t hate the player, hate the game… unless the game is rocket league. Then it’s probably the games fault."
1568317660282212356,@Gregan this is bias…. most of your followers are rocket league :((((,69,@Gregan this is bias…. most of your followers are rocket league :((((
