1568708539316858880,0,0,2022-09-10T21:10:35Z
1568708271296622592,0,5,2022-09-10T21:09:31Z
1568708194024792069,0,3,2022-09-10T21:09:13Z
1568707909441167363,2,12,2022-09-10T21:08:05Z
1568707529076514817,0,2,2022-09-10T21:06:34Z
1568707525716967433,0,3,2022-09-10T21:06:33Z
1568707244019286016,0,0,2022-09-10T21:05:26Z
1568706999692451844,0,0,2022-09-10T21:04:28Z
1568706777415569408,0,0,2022-09-10T21:03:35Z
1568706772348837888,0,0,2022-09-10T21:03:34Z
1568706742522941441,1,0,2022-09-10T21:03:27Z
1568706601216794630,0,5,2022-09-10T21:02:53Z
1568706413517762560,0,1,2022-09-10T21:02:08Z
1568706349323931648,0,0,2022-09-10T21:01:53Z
1568706321347760128,0,2,2022-09-10T21:01:46Z
1568706081139965953,0,0,2022-09-10T21:00:49Z
1568705874247360512,31,463,2022-09-10T21:00:00Z
1568705275875434497,0,2,2022-09-10T20:57:37Z
1568705210461077504,0,3,2022-09-10T20:57:21Z
1568705164114104320,0,0,2022-09-10T20:57:10Z
1568704435626319872,0,2,2022-09-10T20:54:17Z
1568703861975556101,0,0,2022-09-10T20:52:00Z
1568703735509176321,0,1,2022-09-10T20:51:30Z
1568703130040164353,2,39,2022-09-10T20:49:05Z
1568702994866372608,0,1,2022-09-10T20:48:33Z
1568702740150321155,0,0,2022-09-10T20:47:32Z
1568702717446746112,0,0,2022-09-10T20:47:27Z
1568702413657493505,0,2,2022-09-10T20:46:15Z
1568702212767117313,0,1,2022-09-10T20:45:27Z
1568701853596291072,0,1,2022-09-10T20:44:01Z
1568701849427124224,0,0,2022-09-10T20:44:00Z
1568701372371017729,0,0,2022-09-10T20:42:06Z
1568701134285717505,0,0,2022-09-10T20:41:10Z
1568701049594314758,0,5,2022-09-10T20:40:49Z
1568700294820933634,0,1,2022-09-10T20:37:49Z
1568699708750577664,0,3,2022-09-10T20:35:30Z
1568698881956876289,0,0,2022-09-10T20:32:13Z
1568698690780688385,0,1,2022-09-10T20:31:27Z
1568698067721015297,0,0,2022-09-10T20:28:59Z
1568697813051260929,0,0,2022-09-10T20:27:58Z
1568697770051260418,0,1,2022-09-10T20:27:48Z
1568697662601596928,246,957,2022-09-10T20:27:22Z
1568697606355951616,0,7,2022-09-10T20:27:09Z
1568697522188877824,0,0,2022-09-10T20:26:48Z
1568696777787965442,1,0,2022-09-10T20:23:51Z
1568696755641892870,0,1,2022-09-10T20:23:46Z
1568696735777824769,0,7,2022-09-10T20:23:41Z
1568696651656691713,0,3,2022-09-10T20:23:21Z
1568696640701370374,0,1,2022-09-10T20:23:18Z
1568696499701170176,0,1,2022-09-10T20:22:45Z
1568695789404262402,0,1,2022-09-10T20:19:55Z
